X,beta,r0,eta0,zeta0,Xout
dt=3fb604e3e700545d
3fb6202ecfb9c869,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fde9e39b9f6eb59
3fc087c0cdf864a5,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe01f763b9640c1
3fc5ff6a3413e515,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe0f9b085458826
3fcb77139a2f6585,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe1df902ca9942c
3fd0775e802572fb,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe2d39fc1f88459
3fd3333333333333,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe3d9972a7bca5b
3f50624dd2f1a9fc,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdb8eeca2fd214e
3fa661b807058f11,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdd0ec00055c1d3
3fb6202ecfb9c869,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fde9dc80428ddef
3fc087c0cdf864a5,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe01ead9e19f5ab
3fc5ff6a3413e515,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe0f7b856ee95bd
3fcb77139a2f6585,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe1db6f7974866a
3fd0775e802572fb,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe2cbdf0ee6cf65
3fd3333333333333,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe3cc0243d1a4dc
3f50624dd2f1a9fc,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdb8eeca2f299c0
3fa661b807058f11,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdd0eb1fe5462bc
3fb6202ecfb9c869,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fde9d565b409b27
3fc087c0cdf864a5,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe01de53c1bf183
3fc5ff6a3413e515,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe0f5c15e77626e
3fcb77139a2f6585,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe1d75368319682
3fd0775e802572fb,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe2c42d0ca4fa8c
3fd3333333333333,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe3be969fe2c503
3f50624dd2f1a9fc,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdb8eeca2e81233
3fa661b807058f11,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdd0ea3fcabab7b
3fb6202ecfb9c869,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fde9ce4bf3c7fad
3fc087c0cdf864a5,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe01d1d158666ab
3fc5ff6a3413e515,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe0f3cb9ae4d122
3fcb77139a2f6585,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe1d33bf1b7a6f3
3fd0775e802572fb,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe2bc8993b837af
3fd3333333333333,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe3b153897a4264
3f50624dd2f1a9fc,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdb8eeca2dd8aa6
3fa661b807058f11,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fdd0e95fb5b99fc
3fb6202ecfb9c869,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fde9c73301ae875
3fc087c0cdf864a5,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe01c552a439234
3fc5ff6a3413e515,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe0f1d70b3cd5b3
3fcb77139a2f6585,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe1cf290eec6992
3fd0775e802572fb,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe2b4f47d333a99
3fd3333333333333,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe3a4384f84bb2d
