X,beta,r0,eta0,zeta0,Xout
dt=3fb604e3e700545d
3fc087c0cdf864a5,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe785713f3d4812
3fc5ff6a3413e515,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe88b5e2c0ec15e
3fcb77139a2f6585,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe9b734e357266f
3fd0775e802572fb,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3feb206c5f6c30f8
3fd3333333333333,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fecf83635b11798
3f50624dd2f1a9fc,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe4ed5f53908740
3fa661b807058f11,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe5bb23ade76f08
3fb6202ecfb9c869,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe6910a35609c2e
3fc087c0cdf864a5,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe7727a130ab282
3fc5ff6a3413e515,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe8647ba6b67183
3fcb77139a2f6585,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe96ee4cf461907
3fd0775e802572fb,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fea9ec8722ae8e4
3fd3333333333333,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fec0c32c2270cca
3f50624dd2f1a9fc,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe4ed5f1e081dcb
3fa661b807058f11,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe5b96c091d11a2
3fb6202ecfb9c869,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe68995cc40d1e5
3fc087c0cdf864a5,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe75fc68126b8ae
3fc5ff6a3413e515,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe83eb273c52c45
3fcb77139a2f6585,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe92a4c723dfb7f
3fd0775e802572fb,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fea289aec299770
3fd3333333333333,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3feb4360221a0ff1
3f50624dd2f1a9fc,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe4ed5ee87fb670
3fa661b807058f11,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe5b7b4f23e74da
3fb6202ecfb9c869,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe6822bdfc53c79
3fc087c0cdf864a5,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe74d54ed9eb175
3fc5ff6a3413e515,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe819f5076c80fc
3fcb77139a2f6585,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe8e9193c189b7f
3fd0775e802572fb,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe9bc3665f359fd
3fd3333333333333,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fea955c401b7c38
3f50624dd2f1a9fc,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe4ed5eb2f75127
3fa661b807058f11,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe5b5fe68fdabfb
3fb6202ecfb9c869,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe67acc56bd5761
3fc087c0cdf864a5,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe73b23ca81928b
3fc5ff6a3413e515,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe7f636c23191fe
3fcb77139a2f6585,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe8ab0298edaf14
3fd0775e802572fb,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe95843090d41ca
3fd3333333333333,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe9fc64a63219a2
3f50624dd2f1a9fc,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe4ec485a3d63b6
3fa661b807058f11,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe58cc8b94cf49a
3fb6202ecfb9c869,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe637dfb4db4ef3
3fc087c0cdf864a5,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe6f0e0d6f36522
3fc5ff6a3413e515,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe7bcc6ab5a1f31
3fcb77139a2f6585,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe8a372460aa946
3fd0775e802572fb,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe9b252aa83c84e
3fd3333333333333,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfa2492492492494,3feb02d8e43ae1cb
3f50624dd2f1a9fc,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe4ec4824bfde37
3fa661b807058f11,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe58b1fcf64ac36
3fb6202ecfb9c869,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe630e4ebfb726a
3fc087c0cdf864a5,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe6dfe260922456
3fc5ff6a3413e515,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe79b5e843dd6df
3fcb77139a2f6585,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe8683e53b74eaf
3fd0775e802572fb,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe94e4249c03527
3fd3333333333333,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fea5aadd1137bfe
3f50624dd2f1a9fc,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe4ec47ef425acd
3fa661b807058f11,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe589776b6c67b5
3fb6202ecfb9c869,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfa2492492492494,3fe629f382918429
